               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10828,            0.017549,            0.029895,           0.0052976,             0.86706,            0.075601,            0.016405,            0.062873,            0.013667,           0.0051552,            0.070625,           0.0032639,           0.0032639
                   1,            0.087133,            0.013454,           0.0065357,             0.61755,             0.58309,             0.52626,             0.16699,            0.059113,           0.0097402,           0.0036284,            0.040364,            0.006336,            0.006336
                   2,            0.082021,              0.0104,           0.0063772,             0.43642,             0.47783,              0.3555,            0.099237,            0.051456,           0.0089656,           0.0024898,           0.0098385,           0.0091441,           0.0091441
                   3,            0.071806,           0.0096718,           0.0056228,             0.78997,             0.70833,             0.82167,             0.46832,            0.047992,           0.0070747,           0.0027336,            0.008812,            0.008812,            0.008812
                   4,            0.057669,           0.0094788,           0.0047816,             0.68382,             0.72521,             0.75975,             0.31912,            0.044201,           0.0069703,           0.0025245,            0.008812,            0.008812,            0.008812
                   5,            0.052125,           0.0086636,           0.0046589,             0.63738,             0.95833,             0.83545,             0.52473,            0.024008,           0.0075902,           0.0023864,            0.008416,            0.008416,            0.008416
                   6,             0.04692,           0.0072286,           0.0040815,             0.96904,             0.99369,              0.9844,             0.62435,            0.024222,           0.0063959,           0.0021064,             0.00802,             0.00802,             0.00802
                   7,             0.04369,           0.0069369,           0.0036066,              0.9995,                   1,               0.995,             0.58482,            0.023187,           0.0062405,           0.0021588,            0.007624,            0.007624,            0.007624
                   8,            0.038299,            0.006107,           0.0034536,             0.96967,             0.96429,               0.993,             0.57011,            0.026845,           0.0057134,           0.0024226,            0.007228,            0.007228,            0.007228
                   9,            0.036295,           0.0059137,           0.0032902,             0.91678,             0.93985,             0.95965,             0.56281,            0.023825,            0.005611,           0.0019733,            0.006832,            0.006832,            0.006832
                  10,            0.032892,           0.0053352,           0.0028541,               0.961,             0.98413,             0.98623,             0.64262,            0.020548,           0.0050578,           0.0019691,            0.006436,            0.006436,            0.006436
                  11,            0.031061,           0.0053326,           0.0025744,              0.9673,             0.96825,             0.98793,             0.71736,            0.019201,           0.0048647,           0.0017851,             0.00604,             0.00604,             0.00604
                  12,            0.031447,           0.0051017,           0.0026005,             0.99981,                   1,               0.995,             0.75965,            0.015215,           0.0044008,           0.0017749,            0.005644,            0.005644,            0.005644
                  13,            0.028654,           0.0045779,           0.0024579,               0.976,             0.97619,             0.98869,             0.73012,             0.01472,           0.0041429,           0.0017392,            0.005248,            0.005248,            0.005248
                  14,            0.027568,            0.004383,           0.0024031,             0.99983,                   1,               0.995,             0.79128,              0.0126,           0.0037346,           0.0015382,            0.004852,            0.004852,            0.004852
                  15,            0.025916,           0.0039584,           0.0020742,             0.99983,                   1,               0.995,             0.79966,            0.013751,           0.0036144,           0.0014728,            0.004456,            0.004456,            0.004456
                  16,            0.023336,           0.0038939,           0.0019136,             0.99985,                   1,               0.995,              0.8016,            0.015224,            0.003204,           0.0013311,             0.00406,             0.00406,             0.00406
                  17,            0.021795,            0.003926,           0.0018896,             0.99208,             0.99392,             0.99468,             0.70215,            0.017238,            0.003507,            0.001289,            0.003664,            0.003664,            0.003664
                  18,            0.020917,           0.0036562,           0.0018972,             0.99986,                   1,               0.995,             0.78478,            0.013364,           0.0031005,           0.0012304,            0.003268,            0.003268,            0.003268
                  19,            0.019762,           0.0035883,           0.0017861,             0.99986,                   1,               0.995,             0.80096,             0.01304,           0.0028451,            0.001126,            0.002872,            0.002872,            0.002872
                  20,            0.018524,           0.0033807,            0.001627,             0.99987,                   1,               0.995,             0.74951,            0.015338,           0.0028736,           0.0010466,            0.002476,            0.002476,            0.002476
                  21,            0.017428,           0.0033632,           0.0014993,             0.99986,                   1,               0.995,              0.8231,            0.010381,           0.0025706,          0.00096765,             0.00208,             0.00208,             0.00208
                  22,            0.015535,           0.0030217,           0.0013589,             0.99986,                   1,               0.995,             0.81551,            0.010871,             0.00248,          0.00089064,            0.001684,            0.001684,            0.001684
                  23,            0.014145,           0.0030076,           0.0012276,             0.99987,                   1,               0.995,             0.81631,           0.0097763,           0.0023835,          0.00080547,            0.001288,            0.001288,            0.001288
                  24,            0.013465,           0.0030062,           0.0012274,             0.99987,                   1,               0.995,             0.82348,           0.0093906,            0.002287,          0.00074797,            0.000892,            0.000892,            0.000892
